Material_Name,Curie_Temperature_K,Neel_Temperature_K,Curie_Weiss_Constant,Crystal_Structure,Lattice_Structure,Lattice_Parameters,Space_Group,Coercivity_Oe,Magnetic_Moment_μB_R,Saturation_Magnetization_emu_g,Remanent_Magnetization_emu_g,Magnetic_Susceptibility,DOI,Experimental
Gd0.1Tb0.9NiH4,12.0,,5,-,,"{'a': '0.373 nm', 'b': '1.147 nm', 'c': '0.468 nm'}",,,9.6 μB,,,,10.1016/j.jmmm.2023.170693,TRUE
GdNi,70.0,,80,-,,"{'a': '0.3778 nm', 'b': '1.0334 nm', 'c': '0.4238 nm'}",,,8.3 μB,,,,10.1016/j.jmmm.2023.170693,FALSE
TbNi,52.0,,56,-,,"{'a': '2.1312 nm', 'b': '0.4211 nm', 'c': '0.5454 nm'}",21,,10 μB,,,,10.1016/j.jmmm.2023.170693,FALSE
Ni45Co5Mn30Al20,300.0,,,2,,,-3,10,,48,2,,10.1016/j.jmmm.2022.169525,TRUE
Ni43.5Co6.5Mn30Al20,321.0,,,2,,,-3,10,,43,2,,10.1016/j.jmmm.2022.169525,TRUE
Ni42Co8Mn30Al20,338.0,,,2,,,-3,10,,19,2,,10.1016/j.jmmm.2022.169525,TRUE
Ni44.3Co5.1Mn31.4Al19.2,284.0,,,,,,,,,,,,10.1016/j.jmmm.2022.169525,FALSE
Ni41.5Co8.5Mn32Al18,391.0,,,,,,,,,28,,,10.1016/j.jmmm.2022.169525,FALSE
Ni41Co9Mn32.5Al17.5,397.0,,,,,,,,,15,,,10.1016/j.jmmm.2022.169525,FALSE
Ni41Co9Mn32Al18,387.0,,,,,,,,,40,,,10.1016/j.jmmm.2022.169525,FALSE
Ni44.4Co5.6Mn30Al20,269.0,,,,,,,,,,,,10.1016/j.jmmm.2022.169525,FALSE
Ni39.9Co10.1Mn30.6Al19.4,394.0,,,,,,,,,,,,10.1016/j.jmmm.2022.169525,FALSE
Ni48Co6Mn26Al20,200.0,,,,,,,,,50,,,10.1016/j.jmmm.2022.169525,FALSE
Ni25Co25Mn25Al25,583.0,,,,,,,,,,,,10.1016/j.jmmm.2022.169525,FALSE
Ni45Co5Mn32Al18,220.0,,,,,,,,,,,,10.1016/j.jmmm.2022.169525,FALSE
Ni40Co10Mn33Al17,330.0,,,,,,,,,,,,10.1016/j.jmmm.2022.169525,FALSE
Ni37.5Co12.5Mn30.5Al19.5,351.0,,,,,,,,,,,,10.1016/j.jmmm.2022.169525,FALSE
Ni45Co5Mn32Al18,348.0,,,,,,,,,9,,,10.1016/j.jmmm.2022.169525,FALSE
Ni44Co6Mn32Al18,355.0,,,,,,,,,20,,,10.1016/j.jmmm.2022.169525,FALSE
Ni43Co7Mn32Al18,368.0,,,,,,,,,32,,,10.1016/j.jmmm.2022.169525,FALSE
Ni42Co8Mn32Al18,390.0,,,,,,,,,35,,,10.1016/j.jmmm.2022.169525,FALSE
Fe2MnSn,586.0,,,,19,"{'a': '5.5056', 'c': '4.3894'}",63194,,5.87 μB at 10 K,,,,10.1016/j.jmmm.2020.166426,TRUE
Fe3Mn2Sn3,363.0,,,,,,,,,,,,10.1016/j.jmmm.2020.166426,FALSE
In0.75Fe0.25Sb,300.0,,,-,,,,,,,,,10.1016/j.jmmm.2019.04.088,TRUE
YbInNi4,3.0,,-12.4,15,,{'a': '6.99'},,,4.6 μB,,,,10.1016/j.jmmm.2003.12.538,TRUE
Ni0.85Mg0.15Cr2O4,76.0,,-24.9,,,{'a': '8.3560'},-3,,6.05 μB,0.03..,,,10.1016/j.jmmm.2022.169666,TRUE
NiCr2O4,74.0,30.0,-557,,,,,,,0.3..,,,10.1016/j.jmmm.2022.169666,FALSE
ErCo0.50Mn0.50O3,75.0,,,,,"{'a': '0.5232 nm', 'b': '0.5856 nm', 'c': '0.7583 nm'}",,,,,,,10.1016/j.jmmm.2009.02.022,TRUE
ErCo0.50Mn0.50O3,69.0,,,,,"{'a': '0.5214 nm', 'b': '0.5588 nm', 'c': '0.7461 nm'}",,,,,,,10.1016/j.jmmm.2009.02.022,TRUE
YbVO3,,100.0,,,,"{'a': '5.5760', 'b': '7.5418', 'c': '5.2310'}",,0.01,0.5 μB/f.u.,,,,10.1016/j.jmmm.2016.02.088,TRUE
LuVO3,,100.0,,,,"{'a': '5.5694', 'b': '7.5313', 'c': '5.2140'}",,0.9,0.01 μB/f.u.,,,,10.1016/j.jmmm.2016.02.088,TRUE
TmVO3,,100.0,,,,,,,,,,,10.1016/j.jmmm.2016.02.088,TRUE
Fe45Pt55,473.15,,,110,--,"{'a': '0.3851 nm (RT), 0.3825 nm (250°C)'}",,15-203012060,,,,,10.1016/j.jmmm.2009.04.045,TRUE
NpIn3,14.0,10.0,,,3-,,,,1.4 μB/Np,,,,10.1016/j.jmmm.2006.10.093,TRUE
NpRhGa5,,34.0,,,,,,,,,,,10.1016/j.jmmm.2006.10.093,TRUE
CuO,300.0,,,,,,,,,,,,10.1016/j.jmmm.2019.165903,TRUE
Sr2RuGdO6,,32.0,,,,"{'a': '5.793(2)', 'b': '5.832(1)', 'c': '8.2134(7)'}",21,,,,,,10.1016/j.jmmm.2006.10.409,TRUE
Sr2RuEuO6,,28.0,,,,"{'a': '5.811(4)', 'b': '5.846(3)', 'c': '8.2269(4)'}",21,,,,,,10.1016/j.jmmm.2006.10.409,TRUE
Fe2Mo3O12,,12.0,-74.5,,,"{'a': '15.6576', 'b': '9.2355', 'c': '18.2007'}",21,,4.74 μB per Fe-ion,0.053-10,,,10.1016/S0304-8853(02)01404-X,TRUE
Ce2Fe17,,217.0,,217,,"{'a': '8.495', 'c': '12.412'}",,,1.75 μB/Fe,135,,,10.1016/j.jmmm.2007.09.010,TRUE
Ce2Fe14Si3,460.0,,,217,,,,,,,,,10.1016/j.jmmm.2007.09.010,
DyPtIn,37.1,,32.8,-,,"{'a': '7.580', 'c': '3.838'}",62,,6.8 μB,,1.8,,10.1016/j.jmmm.2006.01.001,TRUE
HoPtIn,23.1,8.0,25.0,-,,"{'a': '7.571', 'c': '3.812'}",62,,8.2 μB,,0.9,,10.1016/j.jmmm.2006.01.001,TRUE
YbPtIn,,3.4,,,,,,,,,,,10.1016/j.jmmm.2006.01.001,FALSE
SmPtIn,25.0,,,,,,,,,,,,10.1016/j.jmmm.2006.01.001,FALSE
GdPtIn,89.0,,,,,,,,,,,,10.1016/j.jmmm.2006.01.001,FALSE
ErPtIn,13.0,,,,,,,,,,,,10.1016/j.jmmm.2006.01.001,FALSE
TbPtIn,,50.0,,,,,,,,,,,10.1016/j.jmmm.2006.01.001,FALSE
NiMn2O4,110.0,,,,,,,,7.1 μB,,,,10.1016/j.jmmm.2008.02.062,TRUE
NiMn2O4,105.0,,,,,,,,6.9 μB,,,,10.1016/j.jmmm.2008.02.062,TRUE
Fe48Pt52,773.15,,,10,,,,11,,,,,10.1016/j.jmmm.2012.09.010,TRUE
Tb3Co2.2Si1.8,132.0,,118,,,"{'a': '0.40967 nm', 'b': '1.02439 nm', 'c': '1.27102 nm'}",,17,9.8 μB/Tb,5.570,4.1,,10.1016/j.jmmm.2015.04.060,TRUE
Dy3Co2.2Si1.8,74.0,,62,,,"{'a': '0.40828 nm', 'b': '1.01898 nm', 'c': '1.26913 nm'}",,21.5,10.6 μB/Dy,6.5140,3.7,,10.1016/j.jmmm.2015.04.060,TRUE
Fe73.5Cu1Nb3Si13.5B9,910.0,,,,,{'a': '2.845'},,6.9,,1542,,,10.1016/j.jmmm.2010.05.035,TRUE
Fe73.5Cu1Nb3Si13.5B9,729.0,,,,,,,,,,,,10.1016/j.jmmm.2010.05.035,TRUE
Fe73.5Cu1Nb3Si13.5B9,624.0,,,,,,,,,,,,10.1016/j.jmmm.2010.05.035,TRUE
Ho2CoMnO6,182.0,97.0,4,,,"{'a': '5.246', 'b': '5.648', 'c': '7.457'}",21,0.2950.55250.46950.05175,8.52 μB/f.u,8.53.95,0.003.50.03.250.05.950.08.175,29.9411,10.1016/j.jmmm.2022.169537,TRUE
MnAs,313.15,,,--,,,,1000350,,,,,10.1016/j.jmmm.2004.09.106,TRUE
Gd2Zr2O7,,,-7.1,,,{'a': '10.5358'},-3,,7.99 μB,,,-10,10.1016/j.jmmm.2022.169255,TRUE
Er2Zr2O7,,,-12.09,,,{'a': '10.3856'},-3,,9.31 μB,,,-10,10.1016/j.jmmm.2022.169255,TRUE
DyMn2O5,,43.0,-23,,,,,1.49,12.42 μB/f.u.,8.3..150,,,10.1016/j.jmmm.2020.166698,TRUE
Dy0.9Sr0.1Mn2O5,,43.0,-17,,,,,2.91,12.1 μB/f.u.,7.8..150,,,10.1016/j.jmmm.2020.166698,TRUE
Dy0.8Sr0.2Mn2O5,,43.0,-5,,,,,3.55,11.7 μB/f.u.,7.2..150,,,10.1016/j.jmmm.2020.166698,TRUE
NiO,,300.0,,,,,,,,,,,10.1016/j.jmmm.2014.07.008,TRUE
Sm0.35Pr0.15Sr0.5MnO3,191.0,,,,,,,250,,34.621038.0130,,,10.1016/j.jmmm.2012.02.115,TRUE
Pr0.5Ca0.5MnO3,243.0,,,,,"{'a': '5.4086', 'b': '7.6082', 'c': '5.4209'}",,,,,,,10.1016/j.jmmm.2005.06.018,TRUE
Gd60Fe0Co30Al10,142.0,,,,,"{'a': '3.6360', 'b': '3.6360', 'c': '5.7826'}",63,,,,,,10.1016/j.jmmm.2010.02.029,TRUE
Gd60Fe10Co20Al10,170.0,,,,,,,,,,,,10.1016/j.jmmm.2010.02.029,TRUE
Gd60Fe20Co10Al10,185.0,,,,,,,,,,,,10.1016/j.jmmm.2010.02.029,TRUE
Gd60Fe30Co0Al10,200.0,,,,,,,,,,,,10.1016/j.jmmm.2010.02.029,TRUE
Gd55Co20Al25,103.0,,,,,,,,,,,,10.1016/j.jmmm.2010.02.029,FALSE
Gd55Ni25Al20,103.0,,,,,,,,,,,,10.1016/j.jmmm.2010.02.029,FALSE
Gd53Al24Co20Zr3,93.0,,,,,,,,,,,,10.1016/j.jmmm.2010.02.029,FALSE
Gd53Er22Al25Co20,52.0,,,,,,,,,,,,10.1016/j.jmmm.2010.02.029,FALSE
La0.5Sr0.5CoO3,245.0,,,,,"{'a': '5.422', 'c': '13.309'}",-3,2.4104,,,,,10.1016/j.jmmm.2005.04.002,TRUE
PrRu2,34.0,,,15-,,,,,,2.0345,,,10.1016/j.jmmm.2023.170633,FALSE
ErNi,11.0,,,,,,,,,,,,10.1016/j.jmmm.2023.170633,
Bi0.84La0.16Fe0.96Ti0.04O3,,625.0,,3,,,,,,11,,,10.1016/j.jmmm.2018.05.018,TRUE
MnCr2O4,43.45,,47.400.0690045.320.071050,,-,"{'a': '8.441 ± 0.002 (900 °C), 8.437 ± 0.002 (1050 °C)'}",-3,,,2.5540.0061090024.70.1101050,,,10.1016/j.jmmm.2022.169486,TRUE
Mn0.89Cr0.11NiGe,360.0,,,,2-,,63,,,,,,10.1016/j.jmmm.2015.08.052,TRUE
Mn0.89Cr0.11NiGe,275.0,,,,2-,,63,,,,,,10.1016/j.jmmm.2015.08.052,TRUE
MnNi0.90Fe0.10Ge,218.0,,,,-,,,,,,,,10.1016/j.jmmm.2015.08.052,TRUE
MnNi0.90Fe0.10Ge,,295.0,,,-,,,,,,,,10.1016/j.jmmm.2015.08.052,TRUE
CaFe2As2,,169.0,,,,,4,,0.65 μB,,,,10.1016/j.jmmm.2013.08.046,TRUE
SrFe2As2,,199.0,,,,,4,,0.78 μB,,,,10.1016/j.jmmm.2013.08.046,TRUE
TbNi2Mn,131.0,,,2-,,,-3,,"{'Ni': {'Spin': '0.53 μB', 'Orbital': '0.05 μB'}, 'Mn': {'Spin': '0.08 μB', 'Orbital': '0.01 μB'}, 'Tb': {'Spin': '0.33 μB', 'Orbital': '0.19 μB'}}",,,,10.1016/j.jmmm.2014.06.032,TRUE
TbNi2,37.5,,,,,,,,,,,,10.1016/j.jmmm.2014.06.032,
TbMn2,54.0,,,,,,,,,,,,10.1016/j.jmmm.2014.06.032,
Ce2Pd2In,4.0,4.5,,,22-,"{'a': '780.1 pm', 'b': '780.1 pm', 'c': '391.5 pm'}",4,,2.14 μB,,,,10.1016/j.jmmm.2015.12.005,TRUE
La0.75Ca0.25MnO3,232.0,,223,,,"{'a': '5.4724', 'b': '5.4623', 'c': '7.7406'}",,,6.06 μB,,,,10.1016/j.jmmm.2018.11.069,TRUE
ScMnO3,,130.0,,,,"{'a': '5.857(1)', 'c': '11.267(4)'}",63,,3.33(2) μB at 10 K,,,,10.1016/j.jmmm.2022.169916,TRUE
CeCuSi2,,,-58,,2-,"{'a': '4.134', 'b': '16.778', 'c': '4.159'}",,,2.62 μB per cerium atom,,,,10.1016/j.jmmm.2006.01.011,TRUE
MnBi,633.0,,,,,"{'a': '4.30919', 'b': '4.30919', 'c': '6.17521'}",,2.55401.8610,3.6 μB at 300 K,,,,10.1016/j.jmmm.2012.10.046,TRUE
Dy2Cr2C3,,24.0,37,,-,"{'a': '10.479', 'b': '3.383', 'c': '5.5561'}",,0.02,10.82 μB,8.83,,,10.1016/j.jmmm.2022.169339,TRUE
GdCo2B2,,25.0,,,,,,,,,,,10.1016/j.jmmm.2022.169339,FALSE
NdPd,,15.5,,,,,,,,,,,10.1016/j.jmmm.2022.169339,FALSE
GdPd2Si,,17.0,,,,,,,,,,,10.1016/j.jmmm.2022.169339,FALSE
DyCu2,,31.5,,,,,,,,,,,10.1016/j.jmmm.2022.169339,FALSE
Ho3Rh2,23.0,,,,,,,,,,,,10.1016/j.jmmm.2022.169339,FALSE
NdCo2B2,27.0,,,,,,,,,,,,10.1016/j.jmmm.2022.169339,FALSE
Er3Ni2,17.0,,,,,,,,,,,,10.1016/j.jmmm.2022.169339,FALSE
HoPdIn,23.0,,,,,,,,,,,,10.1016/j.jmmm.2022.169339,FALSE
Pr7Pd3,15.0,,,,,,,,,,,,10.1016/j.jmmm.2022.169339,FALSE
ErGa,30.0,,,,,,,,,,,,10.1016/j.jmmm.2022.169339,FALSE
TbCoC2,28.0,,,,,,,,,,,,10.1016/j.jmmm.2022.169339,FALSE
ErFeSi,22.0,,,,,,,,,,,,10.1016/j.jmmm.2022.169339,FALSE
TbCo3B2,28.0,,,,,,,,,,,,10.1016/j.jmmm.2022.169339,FALSE
Pr0.5Ca0.5Mn0.9V0.1O3,44.0,143.0,155,,-,"{'a': '5.4261', 'b': '7.6372', 'c': '5.4093'}",,0.02,0.41 μB/f.u,11.713,0.76,,10.1016/j.jmmm.2021.167738,TRUE
PrAl2,32.9,,29.8,,2-,{'a': '8.0455'},,640,2.42 μB,,,0.0317,10.1016/j.jmmm.2015.12.018,TRUE
PrAl1.94Ni0.06,26.9,,22.0,,2-,{'a': '8.0169'},,4490,,,,0.0180,10.1016/j.jmmm.2015.12.018,TRUE
PrAl1.86Ni0.14,14.0,,12.8,,2-,{'a': '7.9914'},,2750,,,,0.0032,10.1016/j.jmmm.2015.12.018,TRUE
PrAl1.78Ni0.22,36.0,,10.6,,2-,{'a': '7.9572'},,340,,,,0.0020,10.1016/j.jmmm.2015.12.018,TRUE
Ca3CoMnO6,,13.5,-41.4,,,"{'a': '9.130', 'c': '10.577'}",-3,,6.04 μB,,,,10.1016/j.jmmm.2019.03.074,TRUE
Fe2TeO6,,210.0,,,,,42,,,,,,10.1016/j.jmmm.2021.168512,TRUE
GaMnN,300.0,,,,,,,42.84,,12.453,0.373,,10.1016/j.jmmm.2014.11.075,TRUE
GaMnN,300.0,,,,,,,33.14,,10.963,0.273,,10.1016/j.jmmm.2014.11.075,TRUE
GaMnN,300.0,,,,,,,42.63,,7.153,0.313,,10.1016/j.jmmm.2014.11.075,TRUE
GaMnN,300.0,,,,,,,62.43,,5.683,0.303,,10.1016/j.jmmm.2014.11.075,TRUE
Fe3O4,858.0,,,,,{'a': '8.3963'},,25010,,,,,10.1016/j.jmmm.2009.01.037,TRUE
Nd0.7Pb0.3MnO3,150.0,,,,,,,,,,,,10.1016/j.jmmm.2010.09.030,TRUE
Mn5Si3,,98.0,,,16,"{'a': '0.6910 nm', 'b': '0.6910 nm', 'c': '0.4814 nm'}",63,,,,,,10.1016/j.jmmm.2009.03.067,TRUE
Mn5SiB2,480.0,,,,32,"{'a': '0.561 nm', 'b': '0.561 nm', 'c': '1.044 nm'}",4,,1.5-1.6 μB per Mn atom,5.351050.67,,,10.1016/j.jmmm.2009.03.067,TRUE
HoFeO3,,647.0,,,,"{'a': '5.5908 (300 K), 5.5825 (7 K)', 'b': '7.6016 (300 K), 7.5845 (7 K)', 'c': '5.2778 (300 K), 5.2680 (7 K)'}",,,"{'Fe': {'Mx': '0 μB (Phase 1, 60 K, 0.5 T)', 'My': '-0.7 μB (Phase 1, 60 K, 0.5 T)', 'Mz': '-4.23 μB (Phase 1, 60 K, 0.5 T)'}, 'Ho': {'Mx': '0 μB (Phase 1, 60 K, 0.5 T)', 'My': '0 μB (Phase 1, 60 K, 0.5 T)', 'Mz': '0 μB (Phase 1, 60 K, 0.5 T)'}}",,,,10.1016/j.jmmm.2022.169431,TRUE
Ni0.8Zn0.2Fe2O4,758.15,,,,,,,115010.184-10.83512507.051-7.57813505.423-5.841,,115065.92-67.67125079.38-79.54135085.27-86.86,1150456-4781250547-5921350555-604,,10.1016/S0304-8853(02)00413-4,TRUE
CeSi1.3Ga0.7,10.5,,8.8,,-2-,"{'a': '4.2408', 'c': '14.102'}",41.141,,2.465 μB,,,,10.1016/j.jmmm.2021.168886,TRUE
TmAgGe,,4.2,12.1,-,,"{'a': '7.026', 'c': '4.143'}",62,,6.44 μB,3.91.725,,,10.1016/j.jmmm.2009.05.064,TRUE
Mn0.6Zn0.4Fe2O4,528.5,,,,,,3,0.2-4.7,,3.7-28.7,0.002-0.3,3.9-12.310-4,10.1016/j.jmmm.2018.05.103,TRUE
Mn0.5Zn0.5Fe2O4,424.5,,,,,,,,,55-78,,,10.1016/j.jmmm.2018.05.103,TRUE
Mn0.9Zn0.1Fe2O4,433.0,,,,,,,,,,,,10.1016/j.jmmm.2018.05.103,TRUE
La0.9Na0.1MnO3,265.0,,,,,"{'a': '5.5115', 'b': '5.5115', 'c': '13.3328'}",3-,,,,,,10.1016/j.jmmm.2021.168194,TRUE
La0.9Na0.1Mn0.9Fe0.1O3,150.0,,,,,"{'a': '5.5118', 'b': '5.5118', 'c': '13.3349'}",3-,,,,,,10.1016/j.jmmm.2021.168194,TRUE
La0.8Na0.2MnO3,330.0,,,,,"{'a': '5.4901', 'b': '5.4901', 'c': '13.3278'}",3-,,,,,,10.1016/j.jmmm.2021.168194,TRUE
La0.8Na0.2Mn0.9Fe0.1O3,185.0,,,,,"{'a': '5.4935', 'b': '5.4935', 'c': '13.3309'}",3-,,,,,,10.1016/j.jmmm.2021.168194,TRUE
Gd5Si4,336.0,,,,,,,,,,,,10.1016/j.jmmm.2021.168194,FALSE
CeRhIn5,,1.875,,,,,,,,,,,10.1016/j.jmmm.2006.10.018,TRUE
Fe48Rh52,,305.0,,2-,,,,,,,,,10.1016/j.jmmm.2019.01.079,TRUE
CuFeO2,,14.2,,,,,3,,,,,,10.1016/S0304-8853(00)00730-7,TRUE
Ga0.94Mn0.06As,28.0,,,,,,,,,,,,10.1016/j.jmmm.2021.168012,TRUE
Pr0.7Ca0.3CoO3,,,-30,,,"{'a': '5.3577', 'b': '7.5774', 'c': '5.3436'}",,,4.7 μB,,,,10.1016/j.jmmm.2004.04.112,TRUE
Nd0.7Ca0.3CoO2.95,,,-170,,,"{'a': '5.3460', 'b': '7.5638', 'c': '5.3287'}",,,,,,,10.1016/j.jmmm.2004.04.112,TRUE
Nd0.49Sr0.51MnO3.035,244.0,,,,,,,,,,,,10.1016/j.jmmm.2017.03.052,TRUE
Fe0.5Ni0.5PS3,,83.0,7773,,,"{'a': '5.893(5)', 'b': '10.193(5)', 'c': '6.651(5)'}",2,,2.86 μB,,,,10.1016/j.jmmm.2013.01.023,TRUE
FePS3,,123.0,,,,"{'a': '5.952(1)', 'b': '10.305(1)', 'c': '6.751(1)'}",2,,,,,,10.1016/j.jmmm.2013.01.023,TRUE
NiPS3,,155.0,,,,"{'a': '5.817(1)', 'b': '10.082(1)', 'c': '6.627(1)'}",2,,,,,,10.1016/j.jmmm.2013.01.023,TRUE
La0.75Ca0.25MnO3,222.0,,185.81,,,,,,"13.24 μB (experimental), 4.66 μB (theoretical)",,,,10.1016/j.jmmm.2017.10.103,TRUE
La0.75Sr0.25MnO3,346.0,,,,,,,,,,,,10.1016/j.jmmm.2017.10.103,FALSE
La0.7Ca0.3MnO3,222.0,,,,,,,,,,,,10.1016/j.jmmm.2017.10.103,FALSE
La0.7Sr0.3MnO3,378.0,,,,,,,,,,,,10.1016/j.jmmm.2017.10.103,FALSE
La0.7Sr0.3Mn0.95Ti0.05O3,336.0,,,,,,,,,,,,10.1016/j.jmmm.2017.10.103,FALSE
La0.7Sr0.3Mn0.95Al0.05O3,150.0,,,,,,,,,,,,10.1016/j.jmmm.2017.10.103,FALSE
Gd0.8Sr1.2CoO4,,,7.1,,,"{'a': '3.750', 'c': '12.269'}",4,28,2.59 μB,,,,10.1016/j.jmmm.2017.04.013,TRUE
La2CoO4,,275.0,,,,,,,,,,,10.1016/j.jmmm.2017.04.013,FALSE
Sr2CoO4,250.0,,,,,,,,,,,,10.1016/j.jmmm.2017.04.013,FALSE
Sr1.25Gd0.75CoO4,62.0,,,,,,,,,,,,10.1016/j.jmmm.2017.04.013,FALSE
GdMn2H0.0,105.0,,996,15,,{'a': '7.731'},-3,,7.47±0.21 μB/f.u.,,,,10.1016/S0304-8853(01)00825-3,TRUE
GdMn2H1.0,105.0,255.0,156,15,,{'a': '7.928'},,,8.45±0.06 μB/f.u.,,,,10.1016/S0304-8853(01)00825-3,TRUE
GdMn2H1.5,,275.0,596,15,,{'a': '7.972'},,,8.08±0.05 μB/f.u.,,,,10.1016/S0304-8853(01)00825-3,TRUE
GdMn2H2.0,,305.0,616,15,,{'a': '8.024'},,,8.29±0.08 μB/f.u.,,,,10.1016/S0304-8853(01)00825-3,TRUE
GdMn2H3.0,,306.0,516,15,,{'a': '8.109'},,,7.67±0.08 μB/f.u.,,,,10.1016/S0304-8853(01)00825-3,TRUE
GdMn2H3.5,,335.0,12440,15,,{'a': '8.1785'},,,6.7±0.6 μB/f.u.,,,,10.1016/S0304-8853(01)00825-3,TRUE
GdMn2H4.3,,370.0,,,,{'a': '8.2911'},,,,,,,10.1016/S0304-8853(01)00825-3,TRUE
MnRhAs,200.0,240.0,,2-,,"{'a': '6.492', 'c': '3.715'}",62,,,,,,10.1016/S0304-8853(00)01361-5,TRUE
MnRhP,401.0,,,2-,,"{'a': '6.226', 'c': '3.581'}",,,,,,,10.1016/S0304-8853(00)01361-5,FALSE
HoCo2,78.0,,,15,,,,,,,,,10.1016/j.jmmm.2004.02.026,TRUE
DyCo2,135.0,,,,,,,,,,,,10.1016/j.jmmm.2004.02.026,FALSE
ErCo2,32.0,,,,,,,,,,,,10.1016/j.jmmm.2004.02.026,FALSE
Ni2MnGa,375.0,,,21,,{'a': '5.81'},,720,4.17 μB/f.u.,,,,10.1016/j.jmmm.2012.01.018,TRUE
Fe2MnSi,232.0,,,21,,{'a': '5.692'},,,,1.92..,,,10.1016/j.jmmm.2020.167161,TRUE
Fe2MnSi0.9B0.1,273.0,,,21,,{'a': '5.672'},,,,2.04..,,,10.1016/j.jmmm.2020.167161,TRUE
Fe2MnSi0.8B0.2,325.0,,,21,,{'a': '5.718'},,,,2.30..,,,10.1016/j.jmmm.2020.167161,TRUE
Fe2MnSi0.7B0.3,362.0,,,21,,{'a': '5.723'},,,,2.78..,,,10.1016/j.jmmm.2020.167161,TRUE
Fe86Mn4Zr10,214.0,,,,,,,,,,,,10.1016/S0304-8853(00)00843-X,TRUE
Fe84Mn6Zr10,200.0,,,,,,,,,,,,10.1016/S0304-8853(00)00843-X,TRUE
Fe82Mn8Zr10,185.0,,,,,,,,,,,,10.1016/S0304-8853(00)00843-X,TRUE
LaMn4Al8,,5.0,,,12,,4,,,,,,10.1016/j.jmmm.2006.10.233,TRUE
YMn4Al8,,,500,,12,,4,,,,,,10.1016/j.jmmm.2006.10.233,TRUE
CeMn4Al8,,,300,,12,,4,,,,,,10.1016/j.jmmm.2006.10.233,TRUE
CoCr2O4,100.0,,,,-3,,-3,8.55,,,8.510-3.5,,10.1016/j.jmmm.2018.06.080,TRUE
CoHo6I12Ho,,30.0,,612,,,,,,58,,,10.1016/j.jmmm.2013.07.039,TRUE
FeHo6I12Ho,,20.0,,612,,,,,,,,,10.1016/j.jmmm.2013.07.039,TRUE
OsDy6I12Dy,,17.0,,612,,,,,,,,,10.1016/j.jmmm.2013.07.039,TRUE
HoCrWO6,,24.5,-19.8,,,"{'a': '10.8724', 'b': '5.1661', 'c': '7.3096'}",2133,,"Cr: 2.32 μB, Ho: 8.7 μB at 2 K",4.62,,,10.1016/j.jmmm.2020.167219,TRUE
DyCrWO6,,25.0,,,,"{'a': '10.87855', 'b': '5.18328', 'c': '7.32152'}",,,,5,,,10.1016/j.jmmm.2020.167219,FALSE
DyFeWO6,,18.0,,,,"{'a': '10.97992', 'b': '5.18849', 'c': '7.34824'}",,,,5,,,10.1016/j.jmmm.2020.167219,FALSE
CaBaCo3.96Cr0.04O7,59.0,,-1402,,,"{'a': '6.2878', 'b': '11.0079', 'c': '10.1922'}",21,17.6,,1.08..15,0.67..,,10.1016/j.jmmm.2021.167847,TRUE
CaBaCo3.96Ni0.04O7,57.0,,-2037,,,"{'a': '6.2908', 'b': '11.0102', 'c': '10.1929'}",21,3.7,,0.78..15,0.011..,,10.1016/j.jmmm.2021.167847,TRUE
CaBaCo4O7,60.0,,,,,,21,,,0.67..3,,,10.1016/j.jmmm.2021.167847,FALSE
CaBaCo3.96Fe0.04O7,42.0,,,,,,,,,0.028..3,,,10.1016/j.jmmm.2021.167847,FALSE
CaBaCo3.95Ga0.05O7,40.0,,,,,,,,,0.021..3,,,10.1016/j.jmmm.2021.167847,FALSE
CaBaCo3.96Zn0.04O7,40.0,,,,,,,,,0.03..3,,,10.1016/j.jmmm.2021.167847,FALSE
CaBaCo3.98Al0.02O7,52.0,,,,,,,,,0.60..1,,,10.1016/j.jmmm.2021.167847,FALSE
CaBaCo3.95Al0.05O7,32.0,,,,,,,,,0.0064..1,,,10.1016/j.jmmm.2021.167847,FALSE
Sc2O2.875C0.125,590.0,,,,,,-3,,3.99 μB,,,,10.1016/j.jmmm.2022.169910,FALSE
Y2O2.875C0.125,405.0,,,,,,-3,,4.00 μB,,,,10.1016/j.jmmm.2022.169910,FALSE
Lu2O2.875C0.125,455.0,,,,,,-3,,3.99 μB,,,,10.1016/j.jmmm.2022.169910,FALSE
Zn0.97Co0.03O,,,25,,,,,,,,,,10.1016/j.jmmm.2011.09.015,TRUE
Zn0.97Co0.03O,,,-9,,,,,,,,,,10.1016/j.jmmm.2011.09.015,TRUE
TbRhSn,,18.8,-31,-,,"{'a': '7.5344', 'c': '3.7791'}",62,,"9.09 μB (Tb1, Tb2), 6.64 μB (Tb3)",,,,10.1016/S0304-8853(02)01485-3,TRUE
Co2FeSi,1100.0,,,2,,,,,,,,,10.1016/j.jmmm.2017.04.010,TRUE
Pr3Co11B4,388.0,,,,3114-,"{'a': '5.1521', 'c': '9.7921'}",6,,0.53 μB/Co atom,11.87..,,,10.1016/j.jmmm.2013.10.043,TRUE
Pr2Gd1Co11B4,400.0,,,,3114-,"{'a': '5.1251', 'c': '9.8156'}",6,,0.60 μB/Co atom,3.46..,,,10.1016/j.jmmm.2013.10.043,TRUE
Pr1Gd2Co11B4,416.0,,,,3114-,"{'a': '5.1009', 'c': '9.8298'}",6,,0.60 μB/Co atom,5.61..,,,10.1016/j.jmmm.2013.10.043,TRUE
