Material_Name,Curie_Temperature_K,Neel_Temperature_K,Curie_Weiss_Constant,Crystal_Structure,Lattice_Structure,Lattice_Parameters,Space_Group,Coercivity_Oe,Magnetic_Moment_μB_R,Saturation_Magnetization_emu_g,Remanent_Magnetization_emu_g,Magnetic_Susceptibility,DOI,Experimental
Co2Fe0.625V0.375Ge,790.0,,,21,,{'a': '5.760'},-3,,4.78 μB/f.u.,,,,10.1016/j.jmmm.2021.168352,TRUE
MnSi,29.4,,,,,{'a': '4.560'},213,,2.0 μB (Mn),,,,10.1016/S0304-8853(03)00246-4,FALSE
NiFe2O4,870.0,,,,,{'a': '8.345'},3,,,,,,10.1016/j.jmmm.2019.01.001,TRUE
La0.67Sr0.33Mn0.9Cr0.1O3,328.0,,,,,,,,,,,,10.1016/S0304-8853(01)00263-3,TRUE
La0.8Ca0.2MnO3,230.0,,,,,,,,,,,,10.1016/S0304-8853(01)00263-3,FALSE
La0.67Ca0.33MnO3,267.0,,,,,,,,,,,,10.1016/S0304-8853(01)00263-3,FALSE
La0.6Ca0.4MnO3,263.0,,,,,,,,,,,,10.1016/S0304-8853(01)00263-3,FALSE
La0.65Ca0.35Mn0.9Ti0.1O3,103.0,,,,,,,,,,,,10.1016/S0304-8853(01)00263-3,FALSE
La0.87Sr0.13MnO3,197.0,,,,,,,,,,,,10.1016/S0304-8853(01)00263-3,FALSE
La0.84Sr0.16MnO3,244.0,,,,,,,,,,,,10.1016/S0304-8853(01)00263-3,FALSE
Gd,294.0,,,,,,,,,,,,10.1016/S0304-8853(01)00263-3,FALSE
Gd0.73Dy0.27,265.0,,,,,,,,,,,,10.1016/S0304-8853(01)00263-3,FALSE
Ce3Rh2Ge2,,7.0,-90,,,,,,,,,,10.1016/j.jmmm.2003.12.596,TRUE
Co2CrAl,300.0,,,2,,,3,,1.68 μB/f.u.,171.3810,,,10.1016/j.jmmm.2018.05.014,TRUE
Co2FeAl,900.0,,,2,,,3,,5.24 μB/f.u.,141.15810,,,10.1016/j.jmmm.2018.05.014,TRUE
Yb2CoMnO6,125.0,,35,,3-,"{'a': '5.5593', 'b': '7.4154', 'c': '5.1825'}",,,,,,,10.1016/S0304-8853(02)00033-1,TRUE
Gd2CoMnO6,112.0,,,,3-,,,,,,,,10.1016/S0304-8853(02)00033-1,FALSE
MnTe,,310.0,,,-,"{'a': '4.193', 'c': '6.752'}",63,,"0.92 μB at 300 K, 2.06 μB at 10 K",,,83,10.1016/j.jmmm.2004.08.001,TRUE
Co2FeSi,1100.0,,,,,,,,6 μB/f.u.,,,,10.1016/j.jmmm.2022.169615,FALSE
